업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
숙박업(일반),1965-08-13,원진,부산광역시 부산진구 부전로 169-6 (부전동),부산광역시 부산진구 부전동 346-3 
숙박업(일반),1968-12-19,롯데빌,부산광역시 부산진구 서전로 15-1 (부전동),부산광역시 부산진구 부전동 142-5 
숙박업(일반),1968-11-18,윙크장,부산광역시 부산진구 중앙대로970번길 10 (양정동),부산광역시 부산진구 양정동 270-1 
숙박업(일반),1970-12-21,동광,부산광역시 부산진구 새싹로52번길 32 (부전동),부산광역시 부산진구 부전동 392-32 
숙박업(일반),1970-01-10,부산,부산광역시 부산진구 중앙번영로 4-1 (범천동),부산광역시 부산진구 범천동 847-33 
숙박업(일반),1971-12-18,천애,부산광역시 부산진구 범일로142번길 47-5 (범천동),부산광역시 부산진구 범천동 841-166 
숙박업(일반),1972-12-29,모텔QT,부산광역시 부산진구 서전로10번길 45-12 (부전동),부산광역시 부산진구 부전동 168-160 
숙박업(일반),1972-05-01,온정,부산광역시 부산진구 양지로5번길 30 (양정동),부산광역시 부산진구 양정동 354-8 
숙박업(일반),1973-12-31,뉴부산장여관,부산광역시 부산진구 부전로96번길 34-8 (부전동),부산광역시 부산진구 부전동 477-22 
숙박업(일반),1973-05-25,핑크장,부산광역시 부산진구 서면문화로5번길 38 (부전동),부산광역시 부산진구 부전동 477-10 
숙박업(일반),1973-12-15,유림장,부산광역시 부산진구 서면문화로 49-3 (부전동),부산광역시 부산진구 부전동 405-16 
숙박업(일반),1973-07-09,명신,부산광역시 부산진구 중앙대로743번길 8-5 (부전동),부산광역시 부산진구 부전동 266-21 
숙박업(일반),1973-08-14,보강여인숙,부산광역시 부산진구 범일로125번길 38-1 (범천동),부산광역시 부산진구 범천동 62-158 
숙박업(일반),1974-07-06,수빈장여관,부산광역시 부산진구 새싹로 21-14 (부전동),부산광역시 부산진구 부전동 398-5 
숙박업(일반),1974-05-04,국제여관,부산광역시 부산진구 부전로140번길 15 (부전동),부산광역시 부산진구 부전동 390-21 
숙박업(일반),1974-07-20,도원장,부산광역시 부산진구 부전로 169-24 (부전동),부산광역시 부산진구 부전동 280-39 280동 39호
숙박업(일반),1974-01-09,이화장,부산광역시 부산진구 성지로143번길 8 (초읍동),부산광역시 부산진구 초읍동 290-15 
숙박업(일반),1974-08-01,리베라,부산광역시 부산진구 새싹로278번길 21 (초읍동),부산광역시 부산진구 초읍동 290-13 
숙박업(일반),1974-07-16,리베라여관,부산광역시 부산진구 성지로 147 (초읍동),부산광역시 부산진구 초읍동 290-14 
숙박업(일반),1975-04-28,동경장,부산광역시 부산진구 동천로107번길 15 (부전동),부산광역시 부산진구 부전동 142-1 
숙박업(일반),1975-12-05,오케이,부산광역시 부산진구 새싹로8번길 35-10 (부전동),부산광역시 부산진구 부전동 265-7 
숙박업(일반),1975-08-05,신라,부산광역시 부산진구 서전로37번길 53 (전포동),부산광역시 부산진구 전포동 657-13 
숙박업(일반),1976-04-03,태화,부산광역시 부산진구 가야대로673번길 67 (가야동),부산광역시 부산진구 가야동 21 
숙박업(일반),1976-02-25,반도,부산광역시 부산진구 동평로420번길 25 (양정동),부산광역시 부산진구 양정동 393-10 
숙박업(일반),1977-04-18,캘리호스텔,부산광역시 부산진구 새싹로14번길 30 (부전동),부산광역시 부산진구 부전동 265-23 
숙박업(일반),1977-12-01,이화장,부산광역시 부산진구 새싹로29번길 10-7 (부전동),부산광역시 부산진구 부전동 402-2 
숙박업(일반),1977-12-14,와우모텔,부산광역시 부산진구 중앙대로691번가길 14-3 (부전동),부산광역시 부산진구 부전동 519-8 
숙박업(일반),1977-12-17,스테이 원(Stay One),부산광역시 부산진구 서면로68번길 48-1 (부전동),부산광역시 부산진구 부전동 242-11 
숙박업(일반),1978-09-04,하이모텔,부산광역시 부산진구 서면문화로5번길 31 (부전동),부산광역시 부산진구 부전동 485-22 
숙박업(일반),1979-12-10,신신호텔,부산광역시 부산진구 중앙대로743번길 24 (부전동),부산광역시 부산진구 부전동 263-11 
숙박업(일반),1979-12-27,부산장,부산광역시 부산진구 부전로152번길 49 (부전동),부산광역시 부산진구 부전동 264-4 
숙박업(일반),1980-11-26,서림장,부산광역시 부산진구 황령대로8번길 60 (범천동),부산광역시 부산진구 범천동 848-22 
숙박업(일반),1980-01-17,태양모텔,부산광역시 부산진구 중앙대로691번가길 24-6 (부전동),부산광역시 부산진구 부전동 519-38 
숙박업(일반),1980-06-13,더 엘레펀트,부산광역시 부산진구 중앙대로691번가길 24-12 (부전동),부산광역시 부산진구 부전동 519-36 
숙박업(일반),1980-07-25,하림장,부산광역시 부산진구 부전로95번길 17 (부전동),부산광역시 부산진구 부전동 425-10 
숙박업(일반),1980-08-21,휴모텔,부산광역시 부산진구 가야대로784번길 56-7 (부전동),부산광역시 부산진구 부전동 520-7 
숙박업(일반),1980-09-29,쌍마모텔,부산광역시 부산진구 서면문화로5번길 30 (부전동),부산광역시 부산진구 부전동 477-31 
숙박업(일반),1980-12-24,조아장,부산광역시 부산진구 새싹로8번길 37 (부전동),부산광역시 부산진구 부전동 265-2 
숙박업(일반),1981-12-31,엔젤,부산광역시 부산진구 중앙대로692번길 46-7 (부전동),부산광역시 부산진구 부전동 223-2 
숙박업(일반),1981-07-03,호텔 꿀비,부산광역시 부산진구 가야대로587번길 8 (가야동),부산광역시 부산진구 가야동 82-15 
숙박업(일반),1981-05-22,허브모텔,부산광역시 부산진구 복지로 51 (개금동),부산광역시 부산진구 개금동 540-99 
숙박업(일반),1981-09-05,천우장,부산광역시 부산진구 새싹로52번길 32 (부전동),부산광역시 부산진구 부전동 392-32 
숙박업(일반),1981-09-09,필 모텔,부산광역시 부산진구 부전로20번길 26 (부전동),부산광역시 부산진구 부전동 522-48 
숙박업(일반),1981-09-28,로망스여관,부산광역시 부산진구 부전로158번길 28-10 (부전동),부산광역시 부산진구 부전동 347-25 
숙박업(일반),1981-10-19,삼천장,부산광역시 부산진구 중앙대로 722-7 (부전동),부산광역시 부산진구 부전동 156-43 
숙박업(일반),1981-12-03,삼호(유)모텔,부산광역시 부산진구 중앙대로680번가길 33-3 (부전동),부산광역시 부산진구 부전동 187-6 
숙박업(일반),1981-12-21,S.F장 모텔,부산광역시 부산진구 부전로 17-2 (부전동),부산광역시 부산진구 부전동 530-1 
숙박업(일반),1981-09-07,리베라여관,부산광역시 부산진구 성지로143번길 4 (초읍동),부산광역시 부산진구 초읍동 290-8 
숙박업(일반),1981-12-21,짱9모텔,부산광역시 부산진구 새싹로278번길 24 (초읍동),부산광역시 부산진구 초읍동 289-27 
숙박업(일반),1982-07-16,서림,부산광역시 부산진구 당감로50번길 9 (당감동),부산광역시 부산진구 당감동 305-12 
숙박업(일반),1982-07-07,돈소빌,부산광역시 부산진구 부전로 47 (부전동),부산광역시 부산진구 부전동 514-23 
숙박업(일반),1982-11-15,골든파크장모텔,부산광역시 부산진구 서면로 65-6 (부전동),부산광역시 부산진구 부전동 502-16 
숙박업(일반),1982-12-11,프로포즈모텔,부산광역시 부산진구 가야대로784번길 46-5 (부전동),부산광역시 부산진구 부전동 519-10 
숙박업(일반),1983-11-26,올리브모텔,부산광역시 부산진구 서면문화로5번길 44 (부전동),부산광역시 부산진구 부전동 477-13 
숙박업(일반),1984-03-30,Y모텔,부산광역시 부산진구 부전로20번길 9 (부전동),부산광역시 부산진구 부전동 523-2 
숙박업(일반),1984-07-16,우리모텔,부산광역시 부산진구 부전로20번길 30 (부전동),부산광역시 부산진구 부전동 522-1 
숙박업(일반),1984-12-22,몰디브,부산광역시 부산진구 서면로 33-11 (부전동),부산광역시 부산진구 부전동 521-19 
숙박업(일반),1985-09-18,하운드호텔 서면,부산광역시 부산진구 중앙대로691번가길 10 (부전동),부산광역시 부산진구 부전동 520-19 
숙박업(일반),1985-04-13,고궁모텔,부산광역시 부산진구 가야대로703번가길 6 (당감동),부산광역시 부산진구 당감동 983 
숙박업(일반),1985-02-05,호텔 제이세븐투(HOTEL J7.2),부산광역시 부산진구 부전로20번길 10 (부전동),부산광역시 부산진구 부전동 522-26 
숙박업(일반),1985-11-23,그랑호텔,부산광역시 부산진구 중앙대로680번가길 12-5 (부전동),부산광역시 부산진구 부전동 217-4 
숙박업(일반),1985-12-14,모텔 렛츠고,부산광역시 부산진구 중앙대로691번가길 21 (부전동),부산광역시 부산진구 부전동 515-6 
숙박업(일반),1985-11-07,비전빌,부산광역시 부산진구 연수로 32 (양정동),부산광역시 부산진구 양정동 106-17 
숙박업(일반),1986-04-10,K7모텔,부산광역시 부산진구 서면로 33-9 (부전동),부산광역시 부산진구 부전동 521-20 
숙박업(일반),1986-07-21,호텔 제이세븐원(HOTEL J7.1),부산광역시 부산진구 부전로20번길 12 (부전동),부산광역시 부산진구 부전동 522-25 
숙박업(일반),1986-12-22,아주여관,부산광역시 부산진구 범전로19번길 28 (부전동),부산광역시 부산진구 부전동 41-3 
숙박업(일반),1986-07-01,스타빌,부산광역시 부산진구 연수로 18 (양정동),부산광역시 부산진구 양정동 94-5 
숙박업(일반),1986-01-06,S-MOTEL,부산광역시 부산진구 동천로 67-3 (부전동),부산광역시 부산진구 부전동 170-39 
숙박업(일반),1987-06-05,W(더블유)호텔,부산광역시 부산진구 부전로20번길 19 (부전동),부산광역시 부산진구 부전동 523-1 
숙박업(일반),1987-02-11,화동,부산광역시 부산진구 신암로5번길 8-7 (범천동),부산광역시 부산진구 범천동 1298-41 
숙박업(일반),1987-02-11,부산장,부산광역시 부산진구 범일로139번길 49 (범천동),부산광역시 부산진구 범천동 736-2 
숙박업(일반),1987-11-09,그랜드,부산광역시 부산진구 범일로153번길 13 (범천동),부산광역시 부산진구 범천동 885-4 
숙박업(일반),1987-09-07,삼화,부산광역시 부산진구 새싹로8번길 52 (부전동),부산광역시 부산진구 부전동 267-28 
숙박업(일반),1987-03-10,신라하우스,부산광역시 부산진구 새싹로28번길 35 (부전동),부산광역시 부산진구 부전동 351-18 
숙박업(일반),1987-07-21,금하장,부산광역시 부산진구 서전로9번길 36 (부전동),부산광역시 부산진구 부전동 126-5 
숙박업(일반),1987-11-09,R 모텔,부산광역시 부산진구 중앙대로702번길 46-7 (부전동),부산광역시 부산진구 부전동 170-5 
숙박업(일반),1987-02-25,골드모텔,부산광역시 부산진구 동성로 113 (전포동),부산광역시 부산진구 전포동 192-17 
숙박업(일반),1988-08-19,라라비안코호텔 비즈니스,부산광역시 부산진구 부전로96번길 23 (부전동),부산광역시 부산진구 부전동 474-8 
숙박업(일반),1988-05-18,경일장여관,부산광역시 부산진구 신천대로 200 (부암동),부산광역시 부산진구 부암동 133-60 
숙박업(일반),1988-12-24,부일장,"부산광역시 부산진구 신천대로 195, 3.4.5층 (당감동)",부산광역시 부산진구 당감동 878-4 
숙박업(일반),1988-04-07,봉선장,부산광역시 부산진구 동평로 101 (당감동),부산광역시 부산진구 당감동 302-11 
숙박업(일반),1988-06-07,쉼 모텔,부산광역시 부산진구 중앙대로691번가길 23 (부전동),부산광역시 부산진구 부전동 515-46 
숙박업(일반),1988-09-12,1박2일 모텔,부산광역시 부산진구 신천대로162번길 107 (부전동),부산광역시 부산진구 부전동 455-7 
숙박업(일반),1988-10-19,V.V모텔,부산광역시 부산진구 부전로20번길 40-8 (부전동),부산광역시 부산진구 부전동 521-18 
숙박업(일반),1988-11-10,로얄모텔,부산광역시 부산진구 월드컵대로474번길 31 (초읍동),부산광역시 부산진구 초읍동 171-3 
숙박업(일반),1988-01-15,호림장여관,부산광역시 부산진구 연수로8번길 7 (양정동),부산광역시 부산진구 양정동 81-6 
숙박업(일반),1988-04-01,순우정모텔,부산광역시 부산진구 거제대로 16-3 (양정동),부산광역시 부산진구 양정동 401-33 
숙박업(일반),1988-11-23,낙원장,부산광역시 부산진구 동평로406번길 59 (양정동),부산광역시 부산진구 양정동 394-29 
숙박업(일반),1988-08-03,영진,부산광역시 부산진구 동성로118번길 8 (전포동),부산광역시 부산진구 전포동 183-24 
숙박업(일반),1988-10-27,하루모텔,부산광역시 부산진구 전포대로306번길 46 (전포동),부산광역시 부산진구 전포동 148-3 
숙박업(일반),1989-08-31,대호모텔,부산광역시 부산진구 자유평화로37번길 15-12 (범천동),부산광역시 부산진구 범천동 839-416 
숙박업(일반),1989-05-18,삼화장,부산광역시 부산진구 부전로170번길 8 (부전동),부산광역시 부산진구 부전동 347-47 
숙박업(일반),1989-12-14,상큼한 이코노미 호텔,부산광역시 부산진구 부전로140번길 16 (부전동),부산광역시 부산진구 부전동 394-31 
숙박업(일반),1989-11-08,부호장,부산광역시 부산진구 부전로152번길 23 (부전동),부산광역시 부산진구 부전동 347-23 
