연번,구분,단지명,소재지 지번주소,소재지 도로명주소,층수,동수, 세대수 ,준공일
1,공공주택(의무관리),가야KT e편한세상,가야동 698,가야대로 569,29,5,299,2006-09-28
2,공공주택(의무관리),가야동원로얄듀크,가야동 128-1,가야대로 531,28,2,298,2013-05-01
3,공공주택(의무관리),가야반도보라빌,가야동 588,가야공원로 41,25,11,1048,2005-02-02
4,공공주택(의무관리),가야벽산,가야동 669-9,엄광로 122,15,21,1772,1992-06-26
5,공공주택(의무관리),가야삼정그린코아,가야동 361-85,엄광로238번길 5,22,3,386,2000-07-08
6,공공주택(의무관리),가야유림아파트,가야동 50-1,가야대로 679번길 155,25,2,300,1996-02-17
7,공공주택(의무관리),가야화신타운,가야동 55,가야대로679번길 166,25,3,299,1999-12-28
8,공공주택(의무관리),가야센트레빌,가야동 699,가야공원로 6,35,2,212,2020-06-30
9,공공주택(의무관리),개금대동아파트,개금동 566-51,진사로89번길 73,15,3,246,1999-04-22
10,공공주택(의무관리),개금롯데캐슬아파트,개금동 796,개금온정로 10,30,5,489,2010-11-12
11,공공주택(의무관리),개금반도보라,개금동 19-6,개금본동로 42,24,3,480,1994-03-07
12,공공주택(의무관리),개금성도아파트,개금동 10,개금본동로22번길 31,15,2,296,1992-02-13
13,공공주택(의무관리),개금시영아파트,"개금동 627-1,628-1,629-1",진사로61번길 29,5,17,629,1974-12-30
14,공공주택(의무관리),개금우드빌,개금동 1-7,백양대로208번길 144,20,8,980,1994-07-09
15,공공주택(의무관리),개금주공1단지,개금동 53-1,백양대로208번길 25,5,8,380,1987-01-20
16,공공주택(의무관리),개금주공2단지,개금동 53,백양관문로 7,15,18,2544,1988-06-30
17,공공주택(의무관리),개금한진,개금동 2-1,백양대로208번길 90,15,2,180,1992-07-30
18,공공주택(의무관리),개금현대I(아이),개금동 618-2,복지로 70,19,18,1424,2002-06-28
19,공공주택(의무관리),개금현대아파트,개금동 19-2,개금본동로 36,20,3,450,1992-12-30
20,공공주택(의무관리),고원아파트,개금동 산54-4,엄광로62번길 61,5,7,325,1986-03-05
21,공공주택(의무관리),금강펜테리움,개금동 875,가야대로 450,39,4,620,2018-02-27
22,공공주택(의무관리),동원화인패밀리타운,개금동 1-12,백양관문로77번길 55,25,5,894,1995-10-24
23,공공주택(의무관리),삼환아파트,개금동 1-4,백양대로208번길 133,15,3,240,1995-09-07
24,공공주택(의무관리),성원상떼뷰,개금동 197-5,개금온정로 5,22,1,231,2004-04-14
25,공공주택(의무관리),"신개금LG(1차,2차)","개금동 455,596",백양대로300번길 20,27,24,2510,1998-11-02
26,공공주택(의무관리),신개금우성아파트,개금동 57,백양대로208번길 38-9,15,4,360,1989-09-01
27,공공주택(의무관리),개금주공3단지,당감동 516,백양관문로 10,15,17,2716,1989-06-10
28,공공주택(의무관리),국제백양,당감동 791,백양관문로 104-1,15,11,1153,1995-01-21
29,공공주택(의무관리),국제프라자,당감동 792-3,백양관문로 101,25,1,298,1995-03-10
30,공공주택(의무관리),당감동원타워,당감동 515-1,동평로 18,18,5,240,1992-07-23
31,공공주택(의무관리),당감동일스위트,당감동 807-4,백양관문로 115,25,10,1090,2005-03-28
32,공공주택(의무관리),백양뜨란채(당감주공2단지),당감동 797,백양산로53번길 125,25,13,851,1999-07-21
33,공공주택(의무관리),백양푸른채(당감주공3단지),당감동 794,백양산로53번길 62,25,13,1116,1999-11-27
34,공공주택(의무관리),서면봄여름가을겨울,당감동 99-1,가야대로691번길 19,20,3,288,2015-12-18
35,공공주택(의무관리),서면2차봄여름가을겨울,당감동 1024,신천대로197번길 15,37,3,535,2019-04-16
36,공공주택(의무관리),서면삼익,"당감동 175-2,177-1,177-3,447-3,473-5",당감로 17,14,11,1074,1980-10-02
37,공공주택(의무관리),신가야벽산블루밍,당감동 128-2,마철로 98,30,4,436,2006-04-18
38,공공주택(의무관리),태우선파크,당감동 659-1,백양순환로35번길 43,22,1,214,1994-02-07
39,공공주택(의무관리),태화현대1차,당감동 109-1,가야대로 635-20,25,6,668,1996-01-05
40,공공주택(의무관리),태화현대2차,당감동 123,가야대로 635-13,25,9,820,1996-06-27
41,공공주택(의무관리),DS협성 엘리시안,범천동 1647,만리산로 11,28,7,630,2017-03-28
42,공공주택(의무관리),대우디오빌서면1,범천동 1057-2,가야대로 714,25,1,405,2004-10-15
43,공공주택(의무관리),대원아파트(1차),범천동 851-1,황령대로18번길 43,12,1,184,1984-06-12
44,공공주택(의무관리),대원아파트(2차),범천동 851-1,황령대로18번길 43,15,1,315,1986-11-22
45,공공주택(의무관리),서면항도타워,범천동 1256-2,신암로 72,24,1,188,1994-05-16
46,공공주택(의무관리),두산위브센티움,범천동 842-2,자유평화로37번길 67,32,1,289,2005-04-25
47,공공주택(의무관리),범천경남아파트,범천동 944-1,신암로 32,25,7,946,2003-05-13
48,공공주택(의무관리),서면e편한세상,범천동 1054,가야대로 702,37,4,623,2006-12-27
49,공공주택(의무관리),서면동일스위트,범천동 966-8,범천로12번길 8,36,1,292,2013-03-15
50,공공주택(의무관리),서면6차 봄여름가을겨울,범천동 881-3,중앙대로 582,20,3,266,2020-03-17
51,공공주택(의무관리),서면베르빌2,범천동 879-2,중앙대로 584,20,1,606,2004-08-18
52,공공주택(의무관리),서면유림노르웨이숲,범천동 865,신천대로 71,36,2,381,2014-06-05
53,공공주택(의무관리),가야누리애센트리즈,범천동 974-16,범천로 16,25,1,196,2020-05-08
54,공공주택(의무관리),서면3차 봄여름가을겨울,범천동 1650,가야대로 694,37,3,382,2020-06-05
55,공공주택(의무관리),풍림아이원,범천동 1643,범일로154번길 33,30,1,223,2012-05-29
56,공공주택(의무관리),당감뜨란채,부암동 725,백양산로 57,25,6,630,2005-08-28
57,공공주택(의무관리),메리움아파트,부암동 69-5,신천대로 246,28,2,260,1998-12-26
58,공공주택(의무관리),백양산삼정그린코아,부암동 657,용사촌로 52-16,15,1,215,2012-12-12
59,공공주택(의무관리),백양산쌍용스윗닷홈,부암동 720,백양산로 70,23,8,718,2004-12-17
60,공공주택(의무관리),백양산월드메르디앙,부암동 730,백양산로 36,26,5,315,2006-04-27
61,공공주택(의무관리),부산서면동문굿모닝힐,부암동 735,신천대로220번길 65,35,5,559,2011-09-27
62,공공주택(의무관리),서면동일파크스위트1차,부암동 736,동평로150번길 14,25,8,751,2014-11-27
63,공공주택(의무관리),서면동일파크스위트2차,부암동 739,동평로 128,20,5,243,2017-02-24
64,공공주택(의무관리),서면동일파크스위트3차,부암동 746,동평로 162,29,9,727,2017-06-30
65,공공주택(의무관리),서면럭키무지개,부암동 303-6,신천대로 283-1,15,2,294,1989-09-02
66,공공주택(의무관리),서면쌍용스윗닷홈스카이,부암동 63-3,시민공원로 11,40,3,544,2007-11-28
67,공공주택(의무관리),서면쌍용스윗닷홈파크,부암동 731,신천대로220번길 31,32,2,296,2007-07-20
68,공공주택(의무관리),일동미라주,부암동 9-3,동평로 218,27,5,294,2007-03-30
69,공공주택(의무관리),일성in4,부암동 55-6,신천대로 252,25,1,546,1997-12-08
