업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
목욕장업,1963-01-10,은하탕,부산광역시 부산진구 가야대로703번가길 16 (당감동),부산광역시 부산진구 당감동 978 
목욕장업,1966-12-26,동남,부산광역시 부산진구 대학로 11-15 (가야동),부산광역시 부산진구 가야동 381-2 
목욕장업,1968-09-27,한일탕,부산광역시 부산진구 범양로 124 (양정동),부산광역시 부산진구 양정동 503-42 
목욕장업,1968-11-26,백수,부산광역시 부산진구 황령대로74번길 26 (전포동),부산광역시 부산진구 전포동 378-24 
목욕장업,1969-02-08,대성,부산광역시 부산진구 당감로16번길 48 (당감동),부산광역시 부산진구 당감동 241-48 
목욕장업,1970-05-09,경마탕,부산광역시 부산진구 경마장로 3 (범전동),부산광역시 부산진구 범전동 63-32 
목욕장업,1972-09-16,동양탕,부산광역시 부산진구 백양순환로164번길 19 (당감동),부산광역시 부산진구 당감동 315-1 
목욕장업,1973-01-08,양지탕,부산광역시 부산진구 양정로15번길 5 (양정동),부산광역시 부산진구 양정동 60-2 
목욕장업,1973-10-12,수복,부산광역시 부산진구 가야대로572번길 83 (가야동),부산광역시 부산진구 가야동 440-1 
목욕장업,1973-12-13,중앙,부산광역시 부산진구 가야대로 653-1 (가야동),부산광역시 부산진구 가야동 22-1 
목욕장업,1983-02-22,수명탕,부산광역시 부산진구 백양대로34번길 20 (부암동),부산광역시 부산진구 부암동 218-15 
목욕장업,1983-12-30,문화,부산광역시 부산진구 성지로61번길 17 (연지동),부산광역시 부산진구 연지동 10-5 
목욕장업,1984-01-28,성지곡,부산광역시 부산진구 초읍천로108번길 74 (초읍동),부산광역시 부산진구 초읍동 272-1 
목욕장업,1984-01-30,성수,부산광역시 부산진구 백양순환로 12 (당감동),부산광역시 부산진구 당감동 348-35 
목욕장업,1984-06-21,신평화,부산광역시 부산진구 새싹로 60-1 (범전동),부산광역시 부산진구 범전동 406 
목욕장업,1984-09-02,대영,부산광역시 부산진구 동평로229번길 5 (연지동),부산광역시 부산진구 연지동 172 
목욕장업,1984-11-22,영진,부산광역시 부산진구 동성로118번길 8 (전포동),부산광역시 부산진구 전포동 183-24 
목욕장업,1985-01-29,돌샘탕,부산광역시 부산진구 당감로64번길 51 (부암동),부산광역시 부산진구 부암동 381-2 
목욕장업,1985-02-16,동일,부산광역시 부산진구 동평로275번길 30 (연지동),부산광역시 부산진구 연지동 37-14 
목욕장업,1985-04-29,청수,부산광역시 부산진구 당감로10번길 8 (당감동),부산광역시 부산진구 당감동 251-31 
목욕장업,1985-10-11,보성,부산광역시 부산진구 동평로127번길 16 (부암동),부산광역시 부산진구 부암동 329-4 
목욕장업,1985-12-26,산호,부산광역시 부산진구 당감로17번길 71 (당감동),부산광역시 부산진구 당감동 501-2 
목욕장업,1986-08-27,대원,부산광역시 부산진구 황령대로18번길 43 (범천동),부산광역시 부산진구 범천동 851-1 
목욕장업,1986-08-27,동원탕,부산광역시 부산진구 양성로 12 (범전동),부산광역시 부산진구 범전동 9-48 
