"운영형태","관리기관명","주차장명","주차장관리번호","소재지지번주소","소재지도로명주소","전화번호","주차장유형","주차구획수","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","급지구분","주차기본요금","1일주차권요금","월정기권요금","위도","경도","데이터기준일자","주차장구분","부제시행구분","운영요일","요금정보","주차기본시간","추가단위시간","추가단위요금","1일주차권요금적용시간","결제방법","특기사항","실시간주차면수"
"구(군)직영","부산광역시 사상구청","감전동주변","2010000013","-","사상구 감전동 589-2","051-310-4501","노외","26","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","장성주차장","2010000015","-","사상구 주례2동 92-278","051-310-4501","노외","16","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","엄궁초등학교지하주차장","2010000016","사상구 엄궁로191번길 23 (엄궁동 47)","-","051-310-4503","노외","93","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","128.974","35.129","01/18/2019","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","일신주택주변","2011000003","-","사상구 주례3동 545-3","051-310-4501","노외","10","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","주례중학교주변","2012000004","-","사상구 주례2동 82-13","051-310-4501","노외","8","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","모라1동행정복지센터주변","2007001725","사상구 백양대로 949-6 (모라동 1344-5)","-","051-310-4502","노상","156","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.992","35.191","12/12/2018","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","학장동행정복지센터","2008000014","사상구 학감대로147번길 11 (학장동 386-1)","-","051-310-4503","노상","146","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.987","35.144","01/18/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","삼락재첩거리주변","2009000001","사상구 낙동대로1518번길 33 (삼락동 70-21)","-","051-310-4502","노상","137","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.986","35.193","12/12/2018","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","서감남길주변","2009000006","-","사상구 감전동 806-2","051-310-4501","노외","12","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","0","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","백양고가도로주변","2009000009","-","사상구 주례1동 340","051-310-4501","노외","23","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","동주중학교주변","2009000013","-","사상구 주례3동 1262","051-310-4501","노외","37","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","동주윗길주변","2009000014","-","사상구 주례3동 545-18","051-310-4501","노외","5","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","학장천복개","2007001468","-","사상구 주례3동 1233-7","051-860-7711","노외","275","00:00","24:00","00:00","24:00","00:00","24:00","3","200","4700","90000","-","-","02/04/2019","공영","-","-","-","10","10","200","-","-","-","-"
"구(군)직영","부산광역시 기장군청","용수리 유휴부지 활용 노외공영주차장","2018000003","기장군","-","-","노외","12","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","11/01/2018","공영","-","-","-","10","10","-","-","-","-","-"
"민간운영","부산광역시 기장군청","동부근린공원인근 노외 주차장","2008000009","-","기장군 기장읍 151-8","051-792-4719","노외","100","00:00","24:00","-","-","-","-","3","200","4700","40000","-","-","08/05/2014","공영","-","-","-","10","10","200","-","-","-","-"
"구(군)직영","부산광역시 기장군청","백길마을 공영주차장","2018000002","기장군","-","-","노외","25","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","11/01/2018","공영","-","-","-","10","10","-","-","-","-","-"
"시설관리공단위탁","부산광역시 기장군청","정관7로 노상주차장","2018000004","기장군","-","-","노상","13","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","11/01/2018","공영","-","-","-","10","10","-","-","-","-","-"
"민간운영","부산광역시 기장군청","기장 제1공영주차장","2010000006","-","기장군 기장읍 280-9","051-792-4719","노외","178","00:00","24:00","-","-","-","-","2","200","8000","160000","-","-","08/05/2014","공영","-","-","-","10","10","200","-","-","-","-"
"민간운영","부산광역시 기장군청","3구역 2소","2008000010","-","기장군 기장읍 38-0","051-792-4719","노상","30","09:00","20:00","-","-","-","-","2","200","8000","0","-","-","08/05/2014","공영","-","-","-","10","10","200","-","-","-","-"
"민간운영","부산광역시 기장군청","3구역 3소","2008000011","-","기장군 기장읍 124-3 124-3","051-792-4719","노상","25","09:00","20:00","-","-","-","-","2","200","8000","0","-","-","08/05/2014","공영","-","-","-","10","10","200","-","-","-","-"
