업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점영업,현대실내포장,부산광역시 부산진구 부전로152번길 49 (부전동),부산광역시 부산진구 부전동 264-4 ,
유흥주점영업,운동회노래주점,"부산광역시 부산진구 부전로20번길 14 (부전동,,21 (2층))","부산광역시 부산진구 부전동 522-24 ,21 (2층) ",051 -819 -8861
유흥주점영업,록원가요방,부산광역시 부산진구 서면문화로5번길 3 (부전동),부산광역시 부산진구 부전동 486-22 , 051- 818-6852
유흥주점영업,비타민포장센타,부산광역시 부산진구 새싹로8번길 29 (부전동),부산광역시 부산진구 부전동 263-25 , 051- 818-6777
유흥주점영업,동경,"부산광역시 부산진구 서면문화로 7, 지하1층 (부전동)",부산광역시 부산진구 부전동 475-1 , 051- 805-8212
유흥주점영업,모아,"부산광역시 부산진구 부전로152번길 37, 지하1층 (부전동)",부산광역시 부산진구 부전동 351-15 지하1층 , 051- 808-3339
유흥주점영업,범냇골 포장센타,부산광역시 부산진구 중앙대로 611 (범천동),부산광역시 부산진구 범천동 870-21 , 051- 642-4784
유흥주점영업,밀크보이,부산광역시 부산진구 중앙대로691번길 5 (부전동),부산광역시 부산진구 부전동 241-38 , 051- 803-9200
유흥주점영업,황소,부산광역시 부산진구 새싹로 130-8 (부암동),부산광역시 부산진구 부암동 15-23 ,
유흥주점영업,오션라이브바(LiveBar),"부산광역시 부산진구 중앙대로691번길 42, 지하1층 (부전동)",부산광역시 부산진구 부전동 520-23 지하1층 ,
유흥주점영업,땡큐,"부산광역시 부산진구 골드테마길 34, 지하1층 (범천동)",부산광역시 부산진구 범천동 845-9 (지하1층) ,051 -638 -0693
유흥주점영업,뉴썬파워포장센타,부산광역시 부산진구 중앙대로743번길 17 (부전동),부산광역시 부산진구 부전동 262-4 ,
유흥주점영업,금호노래주점,부산광역시 부산진구 서면문화로5번길 20 (부전동),부산광역시 부산진구 부전동 475-21 ,051 -807 -9222
유흥주점영업,한가락노래주점,부산광역시 부산진구 서전로9번길 18 (부전동),부산광역시 부산진구 부전동 117-3 , 051- 809-7912
유흥주점영업,자이안트,부산광역시 부산진구 부전로96번길 36 (부전동),부산광역시 부산진구 부전동 475-12 , 051- 808-7996
유흥주점영업,레드,부산광역시 부산진구 당감로 62 (당감동),부산광역시 부산진구 당감동 320-15 ,051 -897 -5393
유흥주점영업,온라인가라오케,부산광역시 부산진구 새싹로 20-1 (부전동),부산광역시 부산진구 부전동 396-8 ,
유흥주점영업,바운스,부산광역시 부산진구 서면문화로5번길 15 (부전동),부산광역시 부산진구 부전동 486-25 , 051- 803-4055
유흥주점영업,포차혼술남녀,부산광역시 부산진구 중앙대로680번가길 11-8 (부전동),부산광역시 부산진구 부전동 205-4 , 051- 806-1440
유흥주점영업,에루화,부산광역시 부산진구 중앙대로 714-1 (부전동),부산광역시 부산진구 부전동 158-9 ,
유흥주점영업,가면노래주점,"부산광역시 부산진구 중앙대로743번길 20, 지하1층 (부전동)",부산광역시 부산진구 부전동 263-30 , 051- 807-6149
유흥주점영업,삼삼칠,부산광역시 부산진구 새싹로8번길 17 (부전동),부산광역시 부산진구 부전동 262-3 , 051- 816-8848
유흥주점영업,팡팡,"부산광역시 부산진구 골드테마길 61, 지하1층 (범천동)",부산광역시 부산진구 범천동 847-29 ,051 -631 -6968
유흥주점영업,강남,부산광역시 부산진구 부전로96번길 29 (부전동),부산광역시 부산진구 부전동 474-92 , 051- 819-0834
유흥주점영업,레드7080,부산광역시 부산진구 부전로152번길 69 (부전동),부산광역시 부산진구 부전동 262-13 ,051 -817 -8005
유흥주점영업,미자노래주점,"부산광역시 부산진구 부전로96번길 26 (부전동,,17)","부산광역시 부산진구 부전동 477-16 ,17 ", 051- 807-1248
유흥주점영업,샘터노래주점,부산광역시 부산진구 가야대로755번길 6 (부전동),부산광역시 부산진구 부전동 466-25 , 051- 817-1751
유흥주점영업,술타그램,"부산광역시 부산진구 서면로 19, 지상2층 (부전동)",부산광역시 부산진구 부전동 522-10 지상2층 , 051- 808-1942
유흥주점영업,갈채노래주점,부산광역시 부산진구 가야대로784번길 56-3 (부전동),부산광역시 부산진구 부전동 520-37 , 051- 806-8885
유흥주점영업,신바람,부산광역시 부산진구 새싹로8번길 16 (부전동),부산광역시 부산진구 부전동 260-15 , 051- 808-7508
유흥주점영업,청계천노래주점,부산광역시 부산진구 서면문화로5번길 28 (부전동),부산광역시 부산진구 부전동 477-25 , 051- 818-0015
유흥주점영업,파티넥스트도어,"부산광역시 부산진구 중앙대로680번가길 34, 지하1층 (부전동)",부산광역시 부산진구 부전동 172-4 지하1층 , 051- 807-2862
유흥주점영업,필노래주점,"부산광역시 부산진구 부전로96번길 40 (부전동,,24)","부산광역시 부산진구 부전동 475-8 ,24 ", 051- 818-1090
유흥주점영업,고오자,부산광역시 부산진구 서면문화로5번길 3 (부전동),부산광역시 부산진구 부전동 486-22 , 051- 802-4152
유흥주점영업,쥬리앙,부산광역시 부산진구 중앙대로702번길 15 (부전동),부산광역시 부산진구 부전동 168-182 ,
유흥주점영업,솔밭노래방,부산광역시 부산진구 범일로142번길 63 (범천동),부산광역시 부산진구 범천동 841-291 , 051- 643-7333
유흥주점영업,세월,부산광역시 부산진구 신천대로 200-1 (부암동),부산광역시 부산진구 부암동 133-53 ,
유흥주점영업,더킹,부산광역시 부산진구 서면문화로 44-1 (부전동),부산광역시 부산진구 부전동 403-1 , 051- 807-0509
유흥주점영업,와우노래방,"부산광역시 부산진구 동천로107번길 25, 지하1층 (부전동)",부산광역시 부산진구 부전동 142-9 (지하1) ,051 -808 -5005
유흥주점영업,롯데가요주점,"부산광역시 부산진구 부전로96번길 26, 2층 (부전동)",부산광역시 부산진구 부전동 477-16 2층 , 051- 807-4602
유흥주점영업,세글자,"부산광역시 부산진구 부전로 18-5, 4층 (부전동)",부산광역시 부산진구 부전동 522-40 , 
유흥주점영업,해신,"부산광역시 부산진구 부전로20번길 32-5, 지상3층 (부전동)",부산광역시 부산진구 부전동 521-25 , 
유흥주점영업,가인,부산광역시 부산진구 부전로20번길 28 (부전동),부산광역시 부산진구 부전동 522-47 , 051- 806-1287
유흥주점영업,카라,"부산광역시 부산진구 서면문화로5번길 28, 2층 (부전동)",부산광역시 부산진구 부전동 477-25 (2층) , 051- 809-1287
유흥주점영업,비너스,부산광역시 부산진구 서면문화로 11-1 (부전동),부산광역시 부산진구 부전동 475-4 , 051- 806-7100
유흥주점영업,메가톤소주호프주점,"부산광역시 부산진구 중앙대로692번길 46-7, 지하1층 (부전동)",부산광역시 부산진구 부전동 223-2 지하1층 , 051- 804-1169
