"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3220000","CDFI2260031993000002","19930205","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 152번지 외 4필지 152-1 2 3 4","서울특별시 강남구 논현로 645 (논현동 뉴힐탑호텔)","06116","엘리에나호텔","20200618165738","U","2019-12-05 22:00:00.0","","202670.053376769","445410.505681503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032018000007","20181226","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 60-8","서울특별시 강남구 도산대로 216 (논현동)","06047","에이든 청담호텔","20210204085826","U","2020-12-02 00:06:00.0","","202624.921452758","446421.036809928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032018000003","20180323","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 628-12번지 호텔 세느 ","'서울특별시 강남구 논현로 533 호텔 세느 (역삼동)'","06126","호텔 세느","20180516155649","I","2018-08-31 23:59:59.0","","203033.435          ","444637.16           ","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3220000","CDFI2260032018000002","20180321","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 신사동 587-21번지 ","서울특별시 강남구 도산대로 203 (신사동)","06026","포포인츠바이쉐라톤서울강남","20180418161259","I","2018-08-31 23:59:59.0","","202447.848471025    ","446447.1648066      ","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3220000","CDFI2260032018000001","20180309","","01","영업/정상","13","영업중","","","","","025575001","","","서울특별시 강남구 역삼동 723-3번지 ","서울특별시 강남구 언주로85길 27 (역삼동)","06222","오월호텔","20180802135423","I","2018-08-31 23:59:59.0","","203563.297317024    ","444266.609812808    ","관광숙박업","","일반주거지역","","","","","","","","","","","","","","","","","","","3281.33","","","","","","","","","","","","","3281","관광호텔업"
"3220000","CDFI2260032017000005","20171215","","01","영업/정상","13","영업중","","","","","02  20111000","","","서울특별시 강남구 삼성동 142-41번지 ","'서울특별시 강남구 테헤란로 415 L7 HOTELS 강남타워 (삼성동)'","06160","(주)호텔롯데 L7 강남","20200306092748","U","2020-03-08 02:40:00.0","","204488.365267013    ","444832.873128843    ","관광숙박업","","일반상업지역","33","","","","호텔","27","6","","","","","","","","","","","","33584.29","","","","","","","","","511748520000","","","","33584","관광호텔업"
"3220000","CDFI2260032017000003","20170720","","01","영업/정상","13","영업중","","","","","02   5001500","","","서울특별시 강남구 청담동 48-3번지 ","서울특별시 강남구 도산대로 508 (청담동)","06070","호텔 엔트라","20170720192657","I","2018-08-31 23:59:59.0","","204216.450027497    ","446867.588235408    ","관광숙박업","","","24","","","","호텔","20","4","92","5666","HOTEL ENTRA","TOURIST HOTEL BUSINESS","","","","","","","","5666.38","","","","","","","","","","","","","5666","관광호텔업"
"3220000","CDFI2260032017000002","20170707","","01","영업/정상","13","영업중","","","","","02 -2058-1558","","","서울특별시 강남구 개포동 1229-8번지 ","서울특별시 강남구 논현로 74-1 (개포동)","06307","호텔 컬리넌 개포","20171214151101","I","2018-08-31 23:59:59.0","","203992.231656458    ","441630.077624843    ","관광숙박업","","준주거지역","10","","","","호텔","8","2","47","1628","HOTEL CULLINAN Gaepo","TOURIST HOTEL BUSINESS","","","","","","","","1627.92","","","","","","","","","","","","","1628","관광호텔업"
"3220000","CDFI2260032016000012","20161229","","01","영업/정상","13","영업중","","","","","025485489","","","서울특별시 강남구 역삼동 603-1","서울특별시 강남구 봉은사로 134 (역삼동)","06124","도미인 서울 강남","20201230184642","U","2020-12-01 00:01:00.0","","202535.919022141","444822.174971826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032017000001","20170221","","01","영업/정상","13","영업중","","","","","025002300","","","서울특별시 강남구 삼성동 158번지 ","서울특별시 강남구 삼성로96길 20 (삼성동)","06169","호텔 유리앤","20170221174121","I","2018-08-31 23:59:59.0","","205020.248732302    ","445191.129756305    ","관광숙박업","","일반상업지역","17","기타","","","호텔","14","3","","","","","","","","","","","","6661.44","","","","","","","","","1000000000","","","","6661","관광호텔업"
"3220000","CDFI2260032016000011","20161223","","01","영업/정상","13","영업중","","","","","0262053900","","","서울특별시 강남구 역삼동 719-20번지 ","'서울특별시 강남구 언주로89길 21 (역삼동 CAPACEHotel)'","06221","카파스 호텔","20171214151026","I","2018-08-31 23:59:59.0","","203566.634592836    ","444370.566836892    ","관광숙박업","","일반상업지역","11","기타","","","호텔","10","1","","","","","","","","","","","","1999.86","","","","","","","","","500000000","","","","2000",""
"3220000","CDFI2260032016000010","20161214","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 678-13번지 ","서울특별시 강남구 테헤란로29길 11 (역삼동)","06141","호텔 디 아티스트 역삼","20180615171732","I","2018-08-31 23:59:59.0","","203333.617282827    ","444467.312715941    ","관광숙박업","","일반상업지역","11","기타","","","호텔","10","1","","","","","","","","","","","","1947.88","","","","","","","","","","","","","1948","관광호텔업"
"3220000","CDFI2260032016000007","20160603","","01","영업/정상","13","영업중","","","","","0232881100","","","서울특별시 강남구 역삼동 823-43번지 ","서울특별시 강남구 테헤란로10길 5 (역삼동)","06234","호텔 소울하다","20171214150853","I","2018-08-31 23:59:59.0","","202800.634114449    ","444058.465089517    ","관광숙박업","","일반상업지역","8","기타","","","숙박시설","7","1","","","","","","","","","","","","","","","","","","","","","1870000000","","","","","관광호텔업"
"3220000","CDFI2260032016000006","20160425","","01","영업/정상","13","영업중","","","","","025686200","","","서울특별시 강남구 역삼동 736-51번지 ","'서울특별시 강남구 논현로87길 15-4 (역삼동 강남스테이관광호텔)'","06236","강남 스테이 호텔","20160705093206","I","2018-08-31 23:59:59.0","","203064.385125254    ","444133.338603466    ","관광숙박업","","일반상업지역","14","기타","","","호텔","12","2","","","GANGNAM STAY HOTEL","TOURIST HOTEL BUSINESS","","","","","","","","","","","","","","","","","8000000000","","","","","관광호텔업"
"3220000","CDFI2260032016000005","20160329","","01","영업/정상","13","영업중","","","","","0264741530","","","서울특별시 강남구 논현동 205-8번지 ","'서울특별시 강남구 봉은사로 143 (논현동 운현오피스텔)'","06122","강남패밀리호텔","20170215085912","I","2018-08-31 23:59:59.0","","202596.666692428    ","444917.728061158    ","관광숙박업","","일반상업지역","20","","","","","15","5","","","","","","","","","","","","","","","","","","","","","10000000","","","","","가족호텔업"
"3220000","CDFI2260032016000003","20160217","","01","영업/정상","13","영업중","","","","","025674000","","","서울특별시 강남구 논현동 201-4번지 ","'서울특별시 강남구 봉은사로 113 (논현동 호텔 더 디자이너스 리즈 강남 프리미어)'","06120","호텔 더 디자이너스 리즈 강남 프리미어","20160217155809","I","2018-08-31 23:59:59.0","","202220.14           ","444805.625          ","관광숙박업","","일반주거지역","22","기타","","","숙박시설","18","4","","","","","","","","","","","","","","","","","","","","","20000000000","","","","","관광호텔업"
"3220000","CDFI2260032016000002","20160212","","01","영업/정상","13","영업중","","","","","0269369700","","","서울특별시 강남구 삼성동 158-13번지 ","'서울특별시 강남구 테헤란로87길 9 (삼성동 호텔페이토)'","06169","호텔 페이토 삼성","20180626163246","I","2018-08-31 23:59:59.0","","205121.655          ","445138.69           ","관광숙박업","","일반상업지역","24","기타","","","숙박시설","19","5","","","","","","","","","","","","","","","","","","","","","17702400000","","","","","관광호텔업"
"3220000","CDFI2260032016000001","20160112","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 198-20","서울특별시 강남구 강남대로112길 11 (논현동)","06120","K-그랜드 호스텔 강남 1","20210324162536","U","2020-12-02 22:06:00.0","","202161.235372399","444814.440071409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032015000011","20151228","","01","영업/정상","13","영업중","","","","","025645242","","","서울특별시 강남구 삼성동 168-16번지 ","'서울특별시 강남구 테헤란로 611 (삼성동 뷰티크호텔XYM)'","06173","부띠끄 호텔 엑스와이엠","20180514164209","I","2018-08-31 23:59:59.0","","205613.224315917    ","445264.371898509    ","관광숙박업","","일반주거지역","7","기타","","","숙박시설","6","1","","","","","","","","","","","","1673.6","","","","","","","","","1000000000","","","","1674","관광호텔업"
"3220000","CDFI2260032015000010","20151217","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 대치동 891-34번지 서원빌딩 3층~5층호","'서울특별시 강남구 선릉로90길 62 서원빌딩 3층~5층층 (대치동)'","06194","스텔라 호스텔","20190925140037","U","2019-09-27 02:40:00.0","","204719.15931343     ","444786.150912491    ","관광숙박업","","일반상업지역","","기타","","","숙박시설","4","","","","","","","","","","","","","","","","","","","","","","","","","","","호스텔업"
"3220000","CDFI2260032016000004","20160317","","03","폐업","03","폐업","20210121","","","","025731717","","","서울특별시 강남구 역삼동 823-11","서울특별시 강남구 테헤란로8길 13 6층 (역삼동)","06234","오아시스 호스텔","20210128091554","U","2020-11-30 21:00:00.0","","202738.921419902","443977.012671589","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032016000009","20160923","","01","영업/정상","13","영업중","","","","","07081467711","","","서울특별시 강남구 신사동 502-11","서울특별시 강남구 강남대로 620 3층 (신사동 영일빌딩)","06035","호텔 클로이","20210208125740","U","2020-12-01 23:00:00.0","","201684.704785227","446105.858997581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032015000002","20150305","","01","영업/정상","13","영업중","","","","","545-6000","","135887","서울특별시 강남구 신사동 514-2","서울특별시 강남구 도산대로 119 (신사동)","06035","더 리센츠 프리미엄 강남호텔","20210113104553","U","2020-11-30 23:05:00.0","","201828.756638827","446119.714905741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032015000007","20151009","","01","영업/정상","13","영업중","","","","","18998059","","","서울특별시 강남구 논현동 54-4","서울특별시 강남구 학동로 117 (논현동)","06044","호텔 포레힐","20210209105031","U","2020-12-01 23:01:00.0","","202019.609786891","445542.15986245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032015000008","20151030","","01","영업/정상","13","영업중","","","","","02  36775425","","","서울특별시 강남구 논현동 206-1번지 ","'서울특별시 강남구 봉은사로 155 (논현동 호텔 카푸치노)'","06122","호텔 카푸치노","20180412155354","I","2018-08-31 23:59:59.0","","202713.81010796     ","444963.003980538    ","관광숙박업","","일반주거지역","20","기타","","","숙박시설","17","3","","","","","","","","","","","","","","","","","","","","","15000000000","","","","","관광호텔업"
