개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
opnsfteamcode,mgtno,apvpermymd,apvcancelymd,trdstategbn,trdstatenm,dtlstategbn,dtlstatenm,dcbymd,clgstdt,clgenddt,ropnymd,sitetel,sitearea,sitepostno,sitewhladdr,rdnwhladdr,rdnpostno,bplcnm,lastmodts,updategbn,updatedt,uptaenm,x,y,sntuptaenm,bdngjisgflrcnt,bdngunderflrcnt,usejisgstflr,usejisgendflr,useunderstflr,useunderendflr,hanshilcnt,yangsilcnt,yoksilcnt,balhansilyn,chaircnt,cndpermntwhy,cndpermstymd,cndpermendymd,bdngownsenm,washmccnt,wmeipcnt,maneipcnt,rcvdryncnt,abedcnt,multusnupsoyn
3220000,3220000-202-1973-00299,19731119,,03,폐업,02,폐업,20021017,,,,02 5473904,428.01,135822,서울특별시 강남구 논현동 122-8번지 ,,,영동상가탕,20021026000000,I,2018-08-31 23:59:59.0,공동탕업,202010.0103397      ,445368.131754546    ,공동탕업,4,0,1,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1973-00300,19731018,,03,폐업,02,폐업,19960304,,,,02 5463858,.00,135948,서울특별시 강남구 청담동 3-21번지 ,,,다미향탕,20010803000000,I,2018-08-31 23:59:59.0,공동탕업,203611.536802414    ,446736.048729379    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1974-00301,19741021,,03,폐업,02,폐업,20050502,,,,02 5676817,107.40,135509,서울특별시 강남구 삼성동 115-28번지 ,,,삼성탕,20011115000000,I,2018-08-31 23:59:59.0,공동탕업,204384.977690753    ,445523.738754815    ,공동탕업,5,0,2,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1975-00298,19751210,,03,폐업,02,폐업,20061019,,,,02 5681188,240.70,135928,서울특별시 강남구 역삼동 779-5번지 ,,,삼보탕,20021127000000,I,2018-08-31 23:59:59.0,공동탕업,203942.743842609    ,443773.130887728    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1977-00293,19771117,,03,폐업,02,폐업,20020506,,,,02 5684485,172.18,135270,서울특별시 강남구 도곡동 527-0번지 ,,,충무탕,20020626000000,I,2018-08-31 23:59:59.0,공동탕업,204400.333433217    ,443483.209967215    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1977-00302,19770919,,03,폐업,02,폐업,19970722,,,,02 5571667,208.35,135841,서울특별시 강남구 대치동 904-12번지 ,,,대치탕,20020314000000,I,2018-08-31 23:59:59.0,공동탕업,204915.673075749    ,444488.265183804    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1978-00207,19780628,,01,영업/정상,01,영업,,,,,02 5439694,247.00,135110,서울특별시 강남구 압구정동 369-1번지 ,B상가 ,서울특별시 강남구 압구정로29길 71 (압구정동,,B상가),06002,이조한증막,20030315000000,I,2018-08-31 23:59:59.0,한증막업,202398.594377612    ,447864.763737276    ,한증막업,,,,,,,,,,N,,,,,,,,,,,N
3220000,3220000-202-1978-00208,19781204,,03,폐업,02,폐업,19950731,,,,02 5428240,.00,135897,서울특별시 강남구 신사동 660-6번지 ,,,한양한증막,20010803000000,I,2018-08-31 23:59:59.0,한증막업,203257.555575215    ,447334.651098516    ,한증막업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1978-00303,19781223,,03,폐업,02,폐업,20020411,,,,0205577740,117.39,135835,서울특별시 강남구 대치동 259-15번지 ,,,한양탕,20020411000000,I,2018-08-31 23:59:59.0,공동탕업,,,공동탕업,5,0,2,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1979-00200,19790328,,03,폐업,02,폐업,20050915,,,,02 5420112,319.08,135812,서울특별시 강남구 논현동 6-0번지 지상2층,지상3층 ,,,영동사우나,20041119000000,I,2018-08-31 23:59:59.0,공동탕업,202108.433846703    ,446160.618240423    ,공동탕업,,,,,,,,,,N,,,,,,,,,,,N
3220000,3220000-202-1979-00209,19791018,,03,폐업,02,폐업,19980325,,,,02 5422294,.00,135110,서울특별시 강남구 압구정동 211-1번지 ,,,발리한증막,20010803000000,I,2018-08-31 23:59:59.0,한증막업,,,한증막업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1979-00304,19790307,,03,폐업,02,폐업,20030218,,,,02 5624704,165.95,135926,서울특별시 강남구 역삼동 754-2번지 ,,,도곡목욕탕,20030228000000,I,2018-08-31 23:59:59.0,공동탕업,204170.278135097    ,444036.656041328    ,공동탕업,,,,,,,,,,N,,,,,,,,,,,N
3220000,3220000-202-1980-00279,19800506,,03,폐업,02,폐업,20010424,,,,02 5669201,255.50,135878,서울특별시 강남구 삼성동 145-8번지 ,,,양지탕,20010424000000,I,2018-08-31 23:59:59.0,공동탕업,204707.133769962    ,445602.042288567    ,공동탕업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
3220000,3220000-202-1980-00280,19800930,,03,폐업,02,폐업,20071130,,,,02 5464372,250.46,135890,서울특별시 강남구 신사동 561-19번지 ,,,서림탕,20051118000000,I,2018-08-31 23:59:59.0,공동탕업,202159.749483028    ,446291.277157107    ,공동탕업,,,,,,,,,,N,,,,,,,,,,,N
